,user,description,followers,location,text
1603,MuppavarapuRam,just a normal person living in south india,4,dowleiswaram,@narendramodi Delhi deserves so much give it the status of being a state giving all the power to L.Governer is too much
1604,RamKuma19784093,"loves Modi jee, RSS sevak",209,Puducherry,"@narendramodi 🙏🙏🙏🙏🙏 

PM Modi: Pradhan Sevak of New India,  Vasudhaiva Kutumbakam.

Excellent Modi jee government a… https://t.co/UYvVTw3XJK"
1605,ERABHISHEKTHAK1,Mechanical engineer,82,Chennai,@narendramodi Great work
1606,Pu5hpak,,12,"Coventry, England",@Iyervval @HardeepSPuri @narendramodi Hold your breath. Let the deal go through first.
1607,SyahiVibes,,144,world,@ArunDeshpande20 @narendramodi @keeranl @Satishrathod100 @Susmita52559467 @SoniaGurnani19 @sowmiyasid… https://t.co/bVlIfAnIds
1608,nanda8tooter,"CEO, Tooter Pvt Ltd. A Swadeshi Social Network. @TooterDotIn #Tooter",6928,,"@narendramodi TwitterIndia Company keeps you prisoner, @TooterDotIn sets you free!  #AtmaNirbharBharat #MakeInIndia"
1609,AbhisheK_Kr11,"Unemployed, RRB empanelled candidate",30,India,"@PMOIndia @narendramodi @narendramodi @PiyushGoyal
@PiyushGoyalOffc @RailMinIndia
@CPO_NR @pccm_nr @GM_NRly @drmumb… https://t.co/GYm528193D"
1610,warisa_ali,,0,,@YourFather_O @KumarRitikRaj3 @Salman11803201 @VamosBangalore @frontline000 @narendramodi @ImranKhanPTI Lmao all yo… https://t.co/e73pzBguL7
1611,DebashishHiTs,"Views r mine, re-tweets r not. nothing to do with profession. Laughter is the best medicine, tears r best soul-cleanser, music best purifier.",7583,India,PM @NarendraModi's visits #Matua temple in Orakandi #Bangladesh from where Shri Harischandra Thakur has spread his… https://t.co/PmB0ysAfIv
1612,IrshadHussainN9,,5,,"@Saikuma72932239 @mepratap @narendramodi Narendra modi ji 10 most important
Ayush man Bharat
The insolvency and ban… https://t.co/ci7lABzWe3"
1613,Chandni20403133,हमी नवोदय हों 😊,54,,@Jpatidar_20_07 @EduMinOfIndia @narendramodi @PMOIndia @mhrdschools @DrRPNishank @cbseindia29 Well said 👌👌
1614,ratnagiri369,"Promise is promise. Hate political dividers, discrimination, dictators n liers. Proud to be Bharat vasi. Mad 4 development leadership with vision.",834,India,@narendramodi @AmitShah @RSSorg @INCIndia @RahulGandhi  iletrates main aim to extend 18 months stopping of employee… https://t.co/4UWJ2A6P9p
1615,PraveenBafna12,jain,12,,@narendramodi Nice
